,SN,Contract No,Symbol,Buyer,Seller,Quantity,Rate,Amount,Trading Date,VWAP,Rolling Volatility,Trade Size,Buyer Info,Seller Info,Above_VWAP,Below_VWAP,Qty_Outlier,Amount_Outlier
13012,13513,2030000000000000.0,LEC,44,34,890.0,211.3,0.0,2025-09-08,211.5893387230881,178.11109828793764,Large,Known Broker,Known Broker,False,True,True,False
13079,13580,2030000000000000.0,KEF,40,35,100.0,9.12,912.0,2025-09-08,8.996,265.4000982165149,Large,Known Broker,Known Broker,True,False,False,True
13113,13614,2030000000000000.0,LBBL,82,48,691.0,526.0,0.0,2025-09-08,524.6788026970823,281.10571700578356,Large,Known Broker,Known Broker,True,False,True,False
13162,13663,2030000000000000.0,LBBL,17,53,700.0,522.7,0.0,2025-09-08,524.6788026970823,301.7809857054222,Large,Known Broker,Known Broker,False,True,True,False
13170,13671,2030000000000000.0,NLG,90,57,1.0,784.0,784.0,2025-09-08,796.3445398209776,292.63002807869043,Small,Known Broker,Known Broker,False,True,False,True
13171,13672,2030000000000000.0,MBL,51,57,864.0,247.2,0.0,2025-09-08,249.0411341426615,324.0827260644038,Large,Known Broker,Known Broker,False,True,True,False
868,1369,2030000000000000.0,SHEL,19,56,977.0,302.6,0.0,2025-09-08,303.3728467373475,174.70619145678998,Large,Known Broker,Known Broker,False,True,True,False
13227,13728,2030000000000000.0,API,62,83,997.0,286.9,0.0,2025-09-08,287.32858866103743,49.71026051030959,Large,Known Broker,Known Broker,False,True,True,False
872,1373,2030000000000000.0,SLBBL,14,44,688.0,908.2,0.0,2025-09-08,918.3567940100401,358.76547121111736,Large,Known Broker,Known Broker,False,True,True,False
13230,13731,2030000000000000.0,RNLI,6,45,1.0,450.0,450.0,2025-09-08,451.04576344292144,322.7686839415107,Small,Known Broker,Known Broker,False,True,False,True
13251,13752,2030000000000000.0,NLG,22,4,1.0,790.0,790.0,2025-09-08,796.3445398209776,313.01045243463557,Small,Known Broker,Known Broker,False,True,False,True
13255,13756,2030000000000000.0,MKJC,66,38,797.0,600.0,0.0,2025-09-08,605.2195299125525,165.3202649405146,Large,Known Broker,Known Broker,False,True,True,False
13285,13786,2030000000000000.0,NMB,44,19,803.0,247.0,0.0,2025-09-08,247.3060984863613,26.846787517375134,Large,Known Broker,Known Broker,False,True,True,False
878,1379,2030000000000000.0,MMF1,45,38,800.0,9.75,0.0,2025-09-08,9.8003583855254,136.97635136525093,Large,Known Broker,Known Broker,False,True,True,False
13292,13793,2030000000000000.0,SHINE,62,59,883.0,412.3,0.0,2025-09-08,414.7271960251242,215.75129972571347,Large,Known Broker,Known Broker,False,True,True,False
13294,13795,2030000000000000.0,NGPL,91,49,705.0,396.9,0.0,2025-09-08,397.2731191471952,8.920201791559103,Large,Known Broker,Known Broker,False,True,True,False
13301,13802,2030000000000000.0,HIDCLP,8,44,730.0,195.1,0.0,2025-09-08,196.56631634340698,3.008875759579869,Large,Known Broker,Known Broker,False,True,True,False
13310,13811,2030000000000000.0,BARUN,6,32,720.0,315.0,0.0,2025-09-08,319.89009652614925,81.40638795575168,Large,Known Broker,Known Broker,False,True,True,False
882,1383,2030000000000000.0,UPCL,74,77,756.0,413.0,0.0,2025-09-08,411.3926609815923,208.09212703352455,Large,Known Broker,Known Broker,True,False,True,False
13346,13847,2030000000000000.0,NRIC,56,26,950.0,0.0,0.0,2025-09-08,0.0,241.82411652549501,Large,Known Broker,Known Broker,False,False,True,False
13381,13882,2030000000000000.0,GIBF1,10,5,700.0,11.07,0.0,2025-09-08,11.089166666666667,0.005773870770121668,Large,Known Broker,Known Broker,False,True,True,False
13458,13959,2030000000000000.0,PMLI,59,51,1.0,480.0,480.0,2025-09-08,487.38928571428573,65.30393045855106,Small,Known Broker,Known Broker,False,True,False,True
13472,13973,2030000000000000.0,SANIMA,28,34,915.0,365.0,0.0,2025-09-08,365.24953040257503,210.7328482542221,Large,Known Broker,Known Broker,False,True,True,False
13492,13993,2030000000000000.0,NLIC,48,28,1.0,769.0,769.0,2025-09-08,769.6998327608028,399.826112203796,Small,Known Broker,Known Broker,False,True,False,True
13518,14019,2030000000000000.0,NIFRA,58,58,841.0,270.0,0.0,2025-09-08,270.6788130899634,155.88457268121076,Large,Known Broker,Known Broker,False,True,True,False
13522,14023,2030000000000000.0,NRIC,44,56,960.0,0.0,0.0,2025-09-08,0.0,183.02003533312103,Large,Known Broker,Known Broker,False,False,True,False
13527,14028,2030000000000000.0,NLIC,48,36,1.0,769.0,769.0,2025-09-08,769.6998327608028,387.52481210885355,Small,Known Broker,Known Broker,False,True,False,True
13528,14029,2030000000000000.0,MBL,58,58,700.0,247.9,0.0,2025-09-08,249.0411341426615,392.5049086741919,Large,Known Broker,Known Broker,False,True,True,False
13551,14052,2030000000000000.0,PPCL,32,59,700.0,317.0,0.0,2025-09-08,318.25845085546575,162.81277591148043,Large,Known Broker,Known Broker,False,True,True,False
13554,14055,2030000000000000.0,NGPL,43,38,939.0,396.0,0.0,2025-09-08,397.2731191471952,0.0,Large,Known Broker,Known Broker,False,True,True,False
13564,14065,2030000000000000.0,LEC,44,48,700.0,212.0,0.0,2025-09-08,211.5893387230881,165.2106836739147,Large,Known Broker,Known Broker,True,False,True,False
13643,14144,2030000000000000.0,SCB,7,35,1.0,620.0,620.0,2025-09-08,632.0687579029278,343.70549893768407,Small,Known Broker,Known Broker,False,True,False,True
13658,14159,2030000000000000.0,NIFRA,80,58,929.0,270.0,0.0,2025-09-08,270.6788130899634,0.0,Large,Known Broker,Known Broker,False,True,True,False
13659,14160,2030000000000000.0,KBL,49,8,756.0,194.6,0.0,2025-09-08,195.39428881472838,183.01904272507434,Large,Known Broker,Known Broker,False,True,True,False
13678,14179,2030000000000000.0,NGPL,49,87,2.0,392.0,784.0,2025-09-08,397.2731191471952,320.89806792812175,Small,Known Broker,Known Broker,False,True,False,True
13726,14227,2030000000000000.0,NLIC,48,48,1.0,769.0,769.0,2025-09-08,769.6998327608028,294.30440590201044,Small,Known Broker,Known Broker,False,True,False,True
923,1424,2030000000000000.0,HEIP,38,8,700.0,367.8,0.0,2025-09-08,371.86134020618556,105.0777489925196,Large,Known Broker,Known Broker,False,True,True,False
13785,14286,2030000000000000.0,MNMF1,1,7,100.0,9.01,901.0,2025-09-08,9.009166666666667,107.83869759971275,Large,Known Broker,Known Broker,True,False,False,True
13795,14296,2030000000000000.0,NLIC,48,48,1.0,769.0,769.0,2025-09-08,769.6998327608028,399.77865125591927,Small,Known Broker,Known Broker,False,True,False,True
13828,14329,2030000000000000.0,NLIC,48,48,1.0,769.0,769.0,2025-09-08,769.6998327608028,281.7469313645401,Small,Known Broker,Known Broker,False,True,False,True
13857,14358,2030000000000000.0,SHPC,49,49,735.0,540.0,0.0,2025-09-08,538.9915543486029,311.7691453624006,Large,Known Broker,Known Broker,True,False,True,False
13879,14380,2030000000000000.0,SANIMA,16,10,678.0,364.0,0.0,2025-09-08,365.24953040257503,219.21697774883887,Large,Known Broker,Known Broker,False,True,True,False
13891,14392,2030000000000000.0,NLIC,48,48,1.0,769.0,769.0,2025-09-08,769.6998327608028,328.1658930073857,Small,Known Broker,Known Broker,False,True,False,True
13912,14413,2030000000000000.0,SHINE,41,16,883.0,412.4,0.0,2025-09-08,414.7271960251242,148.04949622789897,Large,Known Broker,Known Broker,False,True,True,False
13935,14436,2030000000000000.0,GSY,4,7,100.0,9.01,901.0,2025-09-08,9.009583333333333,5.201925925638433,Large,Known Broker,Known Broker,True,False,False,True
13936,14437,2030000000000000.0,NBF3,34,28,100.0,9.09,909.0,2025-09-08,9.10811320754717,5.225173043624699,Large,Known Broker,Known Broker,False,True,False,True
