SN,Contract No,Symbol,Buyer,Seller,Quantity,Rate,Amount
42,2030000000000000.0,NRIC,29,58,53.0,0.0,0.0
43,2030000000000000.0,HRL,49,94,460.0,974.0,0.0
44,2030000000000000.0,HRL,25,94,200.0,975.0,0.0
45,2030000000000000.0,DORDI,59,32,19.0,238.0,0.0
46,2030000000000000.0,UMHL,39,62,10.0,576.8,0.0
47,2030000000000000.0,NABBC,71,70,10.0,691.0,0.0
48,2030000000000000.0,NABBC,71,50,10.0,690.9,0.0
49,2030000000000000.0,NABBC,71,22,50.0,690.0,0.0
50,2030000000000000.0,CFCL,35,45,10.0,486.0,0.0
51,2030000000000000.0,NRIC,48,50,20.0,0.0,0.0
52,2030000000000000.0,GBBL,66,14,95.0,429.4,0.0
53,2030000000000000.0,GBBL,66,32,100.0,429.0,0.0
54,2030000000000000.0,GBBL,66,47,100.0,425.0,0.0
55,2030000000000000.0,GBBL,66,62,620.0,425.0,0.0
56,2030000000000000.0,GBBL,66,101,85.0,425.0,0.0
57,2030000000000000.0,SCB,42,34,21.0,632.0,0.0
58,2030000000000000.0,MBJC,32,62,10.0,301.2,0.0
59,2030000000000000.0,SFCL,36,32,105.0,430.0,0.0
60,2030000000000000.0,SFCL,25,32,300.0,430.0,0.0
61,2030000000000000.0,SFCL,47,32,80.0,430.0,0.0
62,2030000000000000.0,SFCL,49,32,15.0,431.0,0.0
63,2030000000000000.0,UPPER,45,36,300.0,183.3,0.0
64,2030000000000000.0,BHCL,48,41,10.0,456.0,0.0
65,2030000000000000.0,BHCL,48,58,10.0,456.0,0.0
66,2030000000000000.0,BHCL,48,35,74.0,456.0,0.0
67,2030000000000000.0,CORBL,29,40,54.0,0.0,0.0
68,2030000000000000.0,CORBL,29,41,10.0,0.0,0.0
69,2030000000000000.0,CORBL,29,59,10.0,0.0,0.0
70,2030000000000000.0,CORBL,29,59,50.0,0.0,0.0
71,2030000000000000.0,CORBL,29,42,100.0,0.0,0.0
72,2030000000000000.0,CORBL,29,60,76.0,0.0,0.0
73,2030000000000000.0,MLBBL,58,41,10.0,0.0,0.0
74,2030000000000000.0,PMLI,59,49,3.0,488.0,0.0
75,2030000000000000.0,RFPL,29,4,10.0,345.3,0.0
76,2030000000000000.0,CBBL,32,36,10.0,0.0,0.0
77,2030000000000000.0,UPCL,42,50,900.0,413.0,0.0
78,2030000000000000.0,UPCL,58,50,41.0,413.0,0.0
79,2030000000000000.0,SHINE,7,89,10.0,417.0,0.0
80,2030000000000000.0,PCBL,34,59,495.0,248.9,0.0
81,2030000000000000.0,HRL,49,33,0.0,974.0,0.0
82,2030000000000000.0,HRL,34,33,100.0,974.1,0.0
83,2030000000000000.0,HRL,33,33,443.0,974.1,0.0
84,2030000000000000.0,HRL,45,33,855.0,974.1,0.0
85,2030000000000000.0,HRL,39,33,10.0,974.2,0.0
86,2030000000000000.0,HRL,44,33,0.0,974.4,0.0
87,2030000000000000.0,HRL,57,33,200.0,975.0,0.0
88,2030000000000000.0,HRL,36,33,20.0,975.0,0.0
89,2030000000000000.0,HHL,42,58,43.0,344.0,0.0
90,2030000000000000.0,HHL,42,58,30.0,344.0,0.0
91,2030000000000000.0,HHL,58,58,42.0,344.1,0.0
92,2030000000000000.0,CLI,62,39,100.0,455.0,0.0
93,2030000000000000.0,UMHL,62,55,500.0,576.7,0.0
94,2030000000000000.0,UMHL,62,55,100.0,576.0,0.0
95,2030000000000000.0,UMHL,62,45,10.0,575.0,0.0
96,2030000000000000.0,SONA,64,11,500.0,441.0,0.0
97,2030000000000000.0,SANVI,38,14,60.0,599.0,0.0
98,2030000000000000.0,SANVI,58,14,50.0,599.0,0.0
99,2030000000000000.0,SANVI,34,14,100.0,599.0,0.0
100,2030000000000000.0,NTC,58,42,18.0,825.0,0.0
101,2030000000000000.0,NTC,22,42,30.0,825.0,0.0
102,2030000000000000.0,NTC,59,42,100.0,825.0,0.0
103,2030000000000000.0,NTC,42,42,100.0,825.0,0.0
104,2030000000000000.0,NTC,6,42,10.0,825.0,0.0
105,2030000000000000.0,NTC,6,42,10.0,825.0,0.0
106,2030000000000000.0,MFIL,41,49,35.0,669.0,0.0
107,2030000000000000.0,AHL,34,57,10.0,605.0,0.0
108,2030000000000000.0,NGPL,13,39,100.0,398.9,0.0
109,2030000000000000.0,RLFL,88,80,10.0,446.5,0.0
110,2030000000000000.0,RLFL,45,80,50.0,446.5,0.0
111,2030000000000000.0,HBL,13,58,10.0,200.6,0.0
112,2030000000000000.0,MHL,13,44,38.0,476.4,0.0
113,2030000000000000.0,MHL,21,44,300.0,476.5,0.0
114,2030000000000000.0,MHL,4,44,30.0,477.0,0.0
115,2030000000000000.0,MHL,52,44,10.0,477.0,0.0
116,2030000000000000.0,MHL,56,44,53.0,477.0,0.0
117,2030000000000000.0,PPCL,44,17,98.0,313.6,0.0
118,2030000000000000.0,PPCL,59,17,102.0,313.6,0.0
119,2030000000000000.0,PPCL,19,17,100.0,313.7,0.0
120,2030000000000000.0,ALBSL,38,16,10.0,0.0,0.0
121,2030000000000000.0,UPCL,56,5,39.0,413.7,0.0
122,2030000000000000.0,UPCL,56,67,11.0,413.7,0.0
123,2030000000000000.0,NLG,26,35,40.0,785.0,0.0
124,2030000000000000.0,OMPL,48,3,10.0,0.0,0.0
125,2030000000000000.0,OMPL,50,3,90.0,0.0,0.0
126,2030000000000000.0,BHPL,32,43,20.0,671.0,0.0
127,2030000000000000.0,BHPL,32,13,70.0,670.0,0.0
128,2030000000000000.0,BHL,32,66,150.0,184.2,0.0
129,2030000000000000.0,SGIC,69,57,10.0,545.0,0.0
130,2030000000000000.0,NRIC,48,14,100.0,0.0,0.0
131,2030000000000000.0,JFL,13,16,30.0,445.0,0.0
132,2030000000000000.0,PRVU,54,58,150.0,205.9,0.0
133,2030000000000000.0,SARBTM,42,56,10.0,890.0,0.0
134,2030000000000000.0,GBIME,42,52,66.0,246.0,0.0
135,2030000000000000.0,UNHPL,33,42,395.0,462.0,0.0
136,2030000000000000.0,NABIL,17,38,102.0,515.0,0.0
137,2030000000000000.0,NABIL,17,11,500.0,515.0,0.0
138,2030000000000000.0,NABIL,17,7,20.0,515.0,0.0
139,2030000000000000.0,NABIL,17,34,50.0,515.0,0.0
140,2030000000000000.0,NABIL,17,33,200.0,515.0,0.0
141,2030000000000000.0,NABIL,17,7,100.0,515.0,0.0
142,2030000000000000.0,NABIL,17,7,50.0,515.0,0.0
143,2030000000000000.0,NABIL,17,25,0.0,515.0,0.0
144,2030000000000000.0,NABIL,17,58,16.0,515.0,0.0
145,2030000000000000.0,NABIL,17,58,20.0,515.0,0.0
146,2030000000000000.0,NABIL,17,3,21.0,515.0,0.0
147,2030000000000000.0,NABIL,17,8,217.0,515.0,0.0
148,2030000000000000.0,NABIL,17,41,10.0,515.0,0.0
149,2030000000000000.0,MSLB,17,67,100.0,0.0,0.0
150,2030000000000000.0,MSLB,17,14,10.0,0.0,0.0
151,2030000000000000.0,MSLB,17,55,10.0,0.0,0.0
152,2030000000000000.0,MSLB,17,55,10.0,0.0,0.0
153,2030000000000000.0,PMHPL,34,26,100.0,345.6,0.0
154,2030000000000000.0,SONA,64,38,100.0,441.0,0.0
155,2030000000000000.0,GCIL,13,21,25.0,476.0,0.0
156,2030000000000000.0,GCIL,52,21,75.0,476.0,0.0
157,2030000000000000.0,GCIL,58,21,100.0,476.1,0.0
158,2030000000000000.0,SAHAS,75,14,108.0,622.0,0.0
159,2030000000000000.0,HDHPC,34,50,58.0,181.0,0.0
160,2030000000000000.0,HDHPC,34,32,142.0,181.0,0.0
161,2030000000000000.0,NESDO,53,34,80.0,0.0,0.0
162,2030000000000000.0,NESDO,28,34,50.0,0.0,0.0
163,2030000000000000.0,NESDO,39,34,10.0,0.0,0.0
164,2030000000000000.0,NESDO,1,34,60.0,0.0,0.0
165,2030000000000000.0,SHIVM,26,45,400.0,578.0,0.0
166,2030000000000000.0,NRN,81,45,90.0,0.0,0.0
167,2030000000000000.0,NRN,48,45,10.0,0.0,0.0
168,2030000000000000.0,RADHI,57,21,100.0,753.0,0.0
169,2030000000000000.0,MKCL,57,57,8.0,0.0,0.0
170,2030000000000000.0,SMATA,48,34,10.0,942.0,0.0
171,2030000000000000.0,NMB,32,49,97.0,246.0,0.0
172,2030000000000000.0,UMRH,28,101,0.0,575.0,0.0
173,2030000000000000.0,UMRH,33,101,87.0,579.0,0.0
174,2030000000000000.0,SPDL,58,22,200.0,403.9,0.0
175,2030000000000000.0,MCHL,4,42,300.0,469.0,0.0
176,2030000000000000.0,BHCL,38,35,10.0,456.0,0.0
177,2030000000000000.0,SONA,41,90,50.0,441.3,0.0
178,2030000000000000.0,SONA,41,42,46.0,441.1,0.0
179,2030000000000000.0,BHPL,19,13,10.0,670.0,0.0
180,2030000000000000.0,BHPL,35,13,20.0,670.0,0.0
181,2030000000000000.0,MEL,57,35,15.0,284.7,0.0
182,2030000000000000.0,MEL,57,58,10.0,284.0,0.0
183,2030000000000000.0,MEL,57,41,45.0,283.0,0.0
184,2030000000000000.0,MEL,57,51,10.0,283.0,0.0
185,2030000000000000.0,MEL,57,58,10.0,281.0,0.0
186,2030000000000000.0,MEL,57,42,10.0,280.5,0.0
187,2030000000000000.0,USHEC,6,29,207.0,475.0,0.0
188,2030000000000000.0,USHEC,6,50,20.0,475.0,0.0
189,2030000000000000.0,USHEC,6,22,10.0,475.0,0.0
190,2030000000000000.0,USHEC,6,8,250.0,474.0,0.0
191,2030000000000000.0,USHEC,6,4,13.0,473.8,0.0
192,2030000000000000.0,HBL,13,58,10.0,200.6,0.0
193,2030000000000000.0,SAPDBL,21,58,0.0,776.0,0.0
194,2030000000000000.0,SAPDBL,20,58,16.0,777.0,0.0
195,2030000000000000.0,GVL,35,17,100.0,526.0,0.0
196,2030000000000000.0,GHL,38,10,700.0,216.8,0.0
197,2030000000000000.0,OMPL,56,45,30.0,0.0,0.0
198,2030000000000000.0,MSHL,52,19,10.0,903.5,0.0
199,2030000000000000.0,API,28,32,53.0,287.0,0.0
200,2030000000000000.0,API,11,32,547.0,288.0,0.0
201,2030000000000000.0,LBBL,60,22,100.0,522.0,0.0
202,2030000000000000.0,API,11,47,400.0,288.0,0.0
203,2030000000000000.0,API,11,53,30.0,288.0,0.0
204,2030000000000000.0,API,11,48,100.0,288.0,0.0
205,2030000000000000.0,API,11,37,200.0,288.0,0.0
206,2030000000000000.0,API,11,38,123.0,288.0,0.0
207,2030000000000000.0,API,11,16,100.0,287.5,0.0
208,2030000000000000.0,NESDO,58,32,10.0,0.0,0.0
209,2030000000000000.0,NHPC,16,45,256.0,199.0,0.0
210,2030000000000000.0,NHPC,16,89,300.0,199.0,0.0
211,2030000000000000.0,NHPC,16,22,414.0,198.9,0.0
212,2030000000000000.0,NHPC,16,49,10.0,198.8,0.0
213,2030000000000000.0,NHPC,16,19,20.0,198.8,0.0
214,2030000000000000.0,PURE,45,51,10.0,775.0,0.0
215,2030000000000000.0,CGH,14,1,100.0,989.0,0.0
216,2030000000000000.0,HRL,34,26,20.0,976.0,0.0
217,2030000000000000.0,HRL,34,44,10.0,976.0,0.0
218,2030000000000000.0,LBBL,60,77,300.0,522.0,0.0
219,2030000000000000.0,NICSF,33,51,0.0,8.9,0.0
220,2030000000000000.0,NICSF,33,13,100.0,8.9,890.0
221,2030000000000000.0,HBL,13,22,10.0,200.6,0.0
222,2030000000000000.0,RADHI,39,22,60.0,752.0,0.0
223,2030000000000000.0,JBLB,45,58,296.0,0.0,0.0
224,2030000000000000.0,NIFRA,80,45,250.0,269.8,0.0
225,2030000000000000.0,NTC,6,57,40.0,825.0,0.0
226,2030000000000000.0,UNHPL,33,19,200.0,462.0,0.0
227,2030000000000000.0,KBL,49,49,0.0,194.3,0.0
228,2030000000000000.0,KBL,51,49,48.0,194.3,0.0
229,2030000000000000.0,KBL,38,49,20.0,194.4,0.0
230,2030000000000000.0,KBL,34,49,40.0,194.5,0.0
231,2030000000000000.0,SPDL,63,22,470.0,403.9,0.0
232,2030000000000000.0,SPDL,63,43,30.0,403.8,0.0
233,2030000000000000.0,JBBL,34,8,685.0,325.5,0.0
234,2030000000000000.0,JBBL,41,8,85.0,326.0,0.0
235,2030000000000000.0,JBBL,48,8,30.0,326.0,0.0
236,2030000000000000.0,GHL,16,45,400.0,216.9,0.0
237,2030000000000000.0,GHL,16,29,33.0,216.9,0.0
238,2030000000000000.0,HDHPC,42,32,358.0,181.0,0.0
239,2030000000000000.0,HDHPC,42,42,100.0,180.9,0.0
240,2030000000000000.0,HDHPC,42,44,22.0,180.8,0.0
241,2030000000000000.0,HDHPC,42,56,20.0,180.6,0.0
242,2030000000000000.0,NICLBSL,7,42,10.0,572.0,0.0
243,2030000000000000.0,HDL,99,71,150.0,0.0,0.0
244,2030000000000000.0,MKCL,38,42,20.0,0.0,0.0
245,2030000000000000.0,JOSHI,38,58,160.0,278.0,0.0
246,2030000000000000.0,JOSHI,38,45,15.0,277.3,0.0
247,2030000000000000.0,LEC,34,58,40.0,211.0,0.0
248,2030000000000000.0,SHEL,41,38,200.0,302.5,0.0
249,2030000000000000.0,SINDU,11,22,210.0,688.0,0.0
250,2030000000000000.0,NHPC,5,53,20.0,198.2,0.0
251,2030000000000000.0,UNHPL,33,45,460.0,462.0,0.0
252,2030000000000000.0,UNHPL,58,45,40.0,462.1,0.0
253,2030000000000000.0,CGH,48,43,340.0,989.9,0.0
254,2030000000000000.0,CGH,48,58,10.0,989.9,0.0
255,2030000000000000.0,CGH,48,42,40.0,989.5,0.0
256,2030000000000000.0,CGH,48,7,10.0,989.4,0.0
257,2030000000000000.0,NWCL,45,48,190.0,842.0,0.0
258,2030000000000000.0,NWCL,56,48,20.0,842.1,0.0
259,2030000000000000.0,NWCL,71,48,200.0,842.1,0.0
260,2030000000000000.0,NWCL,39,48,50.0,842.2,0.0
261,2030000000000000.0,NWCL,56,48,20.0,842.2,0.0
262,2030000000000000.0,NWCL,56,48,10.0,842.5,0.0
263,2030000000000000.0,NWCL,4,48,18.0,843.0,0.0
264,2030000000000000.0,HDL,99,57,300.0,0.0,0.0
265,2030000000000000.0,UPCL,74,67,58.0,413.7,0.0
266,2030000000000000.0,UPCL,74,57,0.0,413.6,0.0
267,2030000000000000.0,UPCL,74,52,500.0,413.5,0.0
268,2030000000000000.0,UPCL,74,17,50.0,413.5,0.0
269,2030000000000000.0,UPCL,74,38,500.0,413.5,0.0
270,2030000000000000.0,UPCL,74,1,217.0,413.5,0.0
271,2030000000000000.0,UPCL,74,51,100.0,413.5,0.0
272,2030000000000000.0,UPCL,74,52,125.0,413.4,0.0
273,2030000000000000.0,UPCL,74,42,50.0,413.3,0.0
274,2030000000000000.0,KKHC,42,45,6.0,227.0,0.0
275,2030000000000000.0,KKHC,42,50,20.0,227.0,0.0
276,2030000000000000.0,BHL,17,26,96.0,184.2,0.0
277,2030000000000000.0,SANIMA,38,58,13.0,365.0,0.0
278,2030000000000000.0,HEI,35,57,48.0,582.0,0.0
279,2030000000000000.0,HEI,35,80,32.0,581.0,0.0
280,2030000000000000.0,NRIC,48,60,200.0,0.0,0.0
281,2030000000000000.0,MKCL,44,33,10.0,0.0,0.0
282,2030000000000000.0,MKCL,44,33,20.0,0.0,0.0
283,2030000000000000.0,MKCL,14,33,34.0,0.0,0.0
284,2030000000000000.0,HATHY,46,64,10.0,0.0,0.0
285,2030000000000000.0,GLH,8,43,84.0,250.5,0.0
286,2030000000000000.0,GLH,14,43,500.0,250.5,0.0
287,2030000000000000.0,GLH,58,43,70.0,250.6,0.0
288,2030000000000000.0,GLH,14,43,246.0,250.6,0.0
289,2030000000000000.0,CORBL,43,60,10.0,0.0,0.0
290,2030000000000000.0,SAHAS,75,41,90.0,622.0,0.0
291,2030000000000000.0,SAHAS,75,58,74.0,622.0,0.0
292,2030000000000000.0,SAHAS,75,16,10.0,622.0,0.0
293,2030000000000000.0,SAHAS,75,58,10.0,622.0,0.0
294,2030000000000000.0,SAHAS,75,29,10.0,622.0,0.0
295,2030000000000000.0,SAHAS,75,41,210.0,621.9,0.0
296,2030000000000000.0,NTC,34,3,10.0,826.0,0.0
297,2030000000000000.0,SPC,32,6,150.0,498.0,0.0
298,2030000000000000.0,SPC,45,6,50.0,498.0,0.0
299,2030000000000000.0,SPC,43,6,15.0,499.0,0.0
300,2030000000000000.0,NLICL,58,62,37.0,580.0,0.0
301,2030000000000000.0,NGPL,58,39,0.0,398.9,0.0
302,2030000000000000.0,NGPL,58,51,940.0,398.8,0.0
303,2030000000000000.0,NGPL,58,11,100.0,398.7,0.0
304,2030000000000000.0,NGPL,58,51,455.0,398.6,0.0
305,2030000000000000.0,BHCL,58,36,10.0,455.8,0.0
306,2030000000000000.0,BGWT,42,33,100.0,882.0,0.0
307,2030000000000000.0,SHIVM,26,52,151.0,578.0,0.0
308,2030000000000000.0,SHIVM,43,52,0.0,578.0,0.0
309,2030000000000000.0,SHIVM,22,52,20.0,578.0,0.0
310,2030000000000000.0,SHIVM,22,52,50.0,578.0,0.0
311,2030000000000000.0,SHIVM,11,52,500.0,578.1,0.0
312,2030000000000000.0,SHIVM,42,52,100.0,578.1,0.0
313,2030000000000000.0,SHIVM,7,52,20.0,578.1,0.0
314,2030000000000000.0,SHIVM,45,52,100.0,578.1,0.0
315,2030000000000000.0,SHIVM,57,52,100.0,578.6,0.0
316,2030000000000000.0,SHIVM,36,52,100.0,578.6,0.0
317,2030000000000000.0,SHIVM,62,52,200.0,579.0,0.0
318,2030000000000000.0,SHIVM,62,52,100.0,579.0,0.0
319,2030000000000000.0,SHIVM,75,52,0.0,579.0,0.0
320,2030000000000000.0,SHIVM,62,52,429.0,579.0,0.0
321,2030000000000000.0,SHIVM,44,52,130.0,579.0,0.0
322,2030000000000000.0,UPCL,58,60,459.0,413.0,0.0
323,2030000000000000.0,UPCL,35,60,0.0,413.0,0.0
324,2030000000000000.0,UPCL,49,60,41.0,413.0,0.0
325,2030000000000000.0,HDL,99,51,200.0,0.0,0.0
326,2030000000000000.0,HDL,99,32,10.0,0.0,0.0
327,2030000000000000.0,HDL,99,58,350.0,0.0,0.0
328,2030000000000000.0,HDL,99,58,139.0,0.0,0.0
329,2030000000000000.0,HDL,99,25,20.0,0.0,0.0
330,2030000000000000.0,HDL,99,35,32.0,0.0,0.0
331,2030000000000000.0,HDL,99,101,412.0,0.0,0.0
332,2030000000000000.0,HDL,99,42,60.0,0.0,0.0
333,2030000000000000.0,HDL,99,51,440.0,0.0,0.0
334,2030000000000000.0,HHL,58,53,58.0,344.1,0.0
335,2030000000000000.0,SADBL,36,49,10.0,415.5,0.0
336,2030000000000000.0,PMLI,59,34,1.0,488.0,488.0
337,2030000000000000.0,SPDL,46,58,10.0,403.4,0.0
338,2030000000000000.0,BPCL,48,58,50.0,798.0,0.0
339,2030000000000000.0,GLH,47,42,200.0,251.0,0.0
340,2030000000000000.0,GLH,42,42,90.0,251.0,0.0
341,2030000000000000.0,HDHPC,4,42,0.0,180.5,0.0
342,2030000000000000.0,HRL,45,17,31.0,974.1,0.0
343,2030000000000000.0,HRL,34,17,169.0,974.2,0.0
344,2030000000000000.0,NIMBPO,16,21,398.0,162.6,0.0
345,2030000000000000.0,BHCL,41,35,37.0,456.0,0.0
346,2030000000000000.0,PRIN,60,58,74.0,758.0,0.0
347,2030000000000000.0,PRIN,60,50,90.0,757.9,0.0
348,2030000000000000.0,PRIN,60,50,100.0,757.7,0.0
349,2030000000000000.0,PRIN,60,50,100.0,757.5,0.0
350,2030000000000000.0,PRIN,60,50,136.0,755.0,0.0
351,2030000000000000.0,ADBL,13,56,0.0,317.9,0.0
352,2030000000000000.0,MDB,14,75,11.0,600.0,0.0
353,2030000000000000.0,MDB,14,29,29.0,598.0,0.0
354,2030000000000000.0,SMHL,58,71,580.0,855.0,0.0
355,2030000000000000.0,MAKAR,70,43,25.0,569.0,0.0
356,2030000000000000.0,MAKAR,70,58,40.0,563.0,0.0
357,2030000000000000.0,MAKAR,70,58,30.0,562.0,0.0
358,2030000000000000.0,PMLI,45,21,10.0,493.0,0.0
359,2030000000000000.0,HBL,13,57,10.0,200.6,0.0
360,2030000000000000.0,CZBIL,34,19,0.0,204.5,0.0
361,2030000000000000.0,PRVU,57,58,400.0,205.9,0.0
362,2030000000000000.0,PRVU,57,56,100.0,205.9,0.0
363,2030000000000000.0,SLBSL,54,33,10.0,0.0,0.0
364,2030000000000000.0,SONA,64,42,450.0,441.1,0.0
365,2030000000000000.0,SONA,56,42,474.0,441.2,0.0
366,2030000000000000.0,SONA,17,42,50.0,441.3,0.0
367,2030000000000000.0,SADBL,21,14,10.0,417.2,0.0
368,2030000000000000.0,NFS,52,42,114.0,632.0,0.0
369,2030000000000000.0,MLBSL,20,25,70.0,0.0,0.0
370,2030000000000000.0,ENL,60,1,10.0,979.0,0.0
371,2030000000000000.0,ENL,60,63,275.0,964.2,0.0
372,2030000000000000.0,SGHC,94,40,45.0,335.0,0.0
373,2030000000000000.0,SGHC,45,40,40.0,335.0,0.0
374,2030000000000000.0,SGHC,36,40,15.0,335.0,0.0
375,2030000000000000.0,AVYAN,40,47,10.0,990.0,0.0
376,2030000000000000.0,TPC,25,57,17.0,327.2,0.0
377,2030000000000000.0,HRL,34,49,331.0,974.2,0.0
378,2030000000000000.0,AHPC,49,49,35.0,282.1,0.0
379,2030000000000000.0,AHPC,43,49,50.0,282.1,0.0
380,2030000000000000.0,AVYAN,33,42,50.0,985.5,0.0
381,2030000000000000.0,PPCL,19,17,900.0,313.7,0.0
382,2030000000000000.0,PPCL,34,17,50.0,313.8,0.0
383,2030000000000000.0,PPCL,44,17,50.0,313.9,0.0
384,2030000000000000.0,GFCL,34,56,100.0,601.0,0.0
385,2030000000000000.0,BNHC,35,22,10.0,477.9,0.0
386,2030000000000000.0,BHL,1,52,270.0,184.0,0.0
387,2030000000000000.0,BHL,39,52,30.0,184.0,0.0
388,2030000000000000.0,BHL,36,26,100.0,184.2,0.0
389,2030000000000000.0,SHINE,44,58,0.0,416.0,0.0
390,2030000000000000.0,SHINE,44,17,50.0,416.0,0.0
391,2030000000000000.0,SHINE,44,89,150.0,416.0,0.0
392,2030000000000000.0,SHINE,44,7,59.0,416.0,0.0
393,2030000000000000.0,SHINE,44,25,100.0,415.9,0.0
394,2030000000000000.0,SGHC,17,13,100.0,336.0,0.0
395,2030000000000000.0,SGHC,17,13,100.0,336.0,0.0
396,2030000000000000.0,SGHC,32,13,100.0,336.0,0.0
397,2030000000000000.0,SGHC,54,13,250.0,336.1,0.0
398,2030000000000000.0,SGHC,25,13,65.0,336.5,0.0
399,2030000000000000.0,SGHC,58,13,40.0,336.5,0.0
400,2030000000000000.0,SGHC,42,13,100.0,336.6,0.0
401,2030000000000000.0,KKHC,14,50,20.0,227.0,0.0
402,2030000000000000.0,HBL,13,22,10.0,200.6,0.0
403,2030000000000000.0,SAHAS,46,41,15.0,621.9,0.0
404,2030000000000000.0,PMLI,42,57,13.0,489.0,0.0
405,2030000000000000.0,NHDL,50,8,650.0,665.1,0.0
406,2030000000000000.0,FOWAD,42,1,120.0,0.0,0.0
407,2030000000000000.0,KBL,17,58,0.0,195.0,0.0
408,2030000000000000.0,TTL,41,64,30.0,767.0,0.0
409,2030000000000000.0,USHEC,3,4,180.0,473.8,0.0
410,2030000000000000.0,USHEC,3,6,10.0,473.0,0.0
411,2030000000000000.0,USHEC,3,58,10.0,472.2,0.0
412,2030000000000000.0,USHEC,3,57,10.0,472.2,0.0
413,2030000000000000.0,RIDI,50,22,10.0,227.0,0.0
414,2030000000000000.0,UPCL,49,72,35.0,413.0,0.0
415,2030000000000000.0,UPCL,70,72,500.0,413.1,0.0
416,2030000000000000.0,UPCL,26,72,365.0,413.2,0.0
417,2030000000000000.0,LSL,34,22,353.0,230.4,0.0
418,2030000000000000.0,UNHPL,33,62,0.0,462.0,0.0
419,2030000000000000.0,UNHPL,45,62,100.0,462.1,0.0
420,2030000000000000.0,MBJC,42,62,30.0,301.2,0.0
421,2030000000000000.0,MBJC,1,62,10.0,301.2,0.0
422,2030000000000000.0,UAIL,16,45,200.0,512.1,0.0
423,2030000000000000.0,BFC,6,45,25.0,464.1,0.0
424,2030000000000000.0,CREST,57,35,10.0,0.0,0.0
425,2030000000000000.0,CREST,57,59,10.0,0.0,0.0
426,2030000000000000.0,CREST,57,34,10.0,0.0,0.0
427,2030000000000000.0,UNHPL,45,95,400.0,462.1,0.0
428,2030000000000000.0,BPCL,54,3,100.0,798.5,0.0
429,2030000000000000.0,HIDCL,92,39,0.0,270.1,0.0
430,2030000000000000.0,HIDCL,16,39,200.0,270.3,0.0
431,2030000000000000.0,HIDCL,8,39,24.0,270.3,0.0
432,2030000000000000.0,NICA,42,64,50.0,339.6,0.0
433,2030000000000000.0,NICA,42,17,30.0,339.6,0.0
434,2030000000000000.0,NICA,42,54,19.0,339.6,0.0
435,2030000000000000.0,NRM,44,62,225.0,448.0,0.0
436,2030000000000000.0,SJLIC,28,42,284.0,426.1,0.0
437,2030000000000000.0,SJLIC,32,42,16.0,426.2,0.0
